Title,Authors,Vienna Researchers,Journal,DOI,Domain,Field,OA Status,Cited By,Date,Abstract
互为因果与发散型人工智能的概念框架:从图灵化编码到逆图灵化余项换轨 - A Conceptual Framework of Co-Constitutive Causality and Divergent Artificial Intelligence: From Turingized Encoding to Reverse-Turingized Remainder Track Switching,"Wu, Wu",Haodong Wu (TU Wien),Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.20827391,Physical Sciences,Computer Science,green,0,2026-06-27,"摘要 本文关注一个容易被算力和规模叙事遮蔽的问题:当 AI 系统已经沿某一编码关系运行,而该关系本身开始失效时,系统是否有能力识别这种失效并重构产生下一状态的关系。本文把以有限精度编码状态和既定规则或参数关系推进的主流自主闭环系统称为“图灵机型人工智能”。这类系统的基本原则是图灵化的编码—计算:连续、语境化、具身和情感性问题先被粗粒化为可计算的有限部分和,随后在该表示内部继续生成。这种强大能力同时留下编码适配意义上的结构性缺口:真实问题中仍有连续结构未被当前编码关系吸收时,系统可能把部分和的继续延长误认为理解增加。 本文以部分和—余项结构刻画这一边界:部分和表示已经被当前编码关系吸收的结构,余项表示仍属于原问题但尚未被吸收的连续结构。余项在这里不是可任意丢弃的误差,而是旧关系失效和通项重构的信号。基于一类总体发散、但有限初始段先呈现有效逼近趋势的 U 型积分型余项结构,本文把从余项反升中识别失配、停止旧轨道并生成新通项的能力称为“发散型智能”;人类智能中的许多高级理解、情感判断和情境转换过程,可被理解为这种能力的典型表现。本文把这种余项换轨称为“逆图灵化”:它作为与图灵化相配对的第二方向,回读被编码遮蔽的连续余项,并使其参与生成关系的重构。图灵化建立可计算的离散部分和,逆图灵化把部分和之外的余项重新带回关系判断。 为说明这种关系结构,本文提出互为因果(Co-Constitutive Causality, CCC)作为与简单因果相对照的关系范畴,用以刻画 U 型部分和与余项、自指结构、纠缠关系、场关系和 AI 解释失效中的同构形式。由于 U 型部分和与余项局部可区分而整体相互规定,本文把一种局部仍执行编码计算、整体通过余项读取和关系重构形成内在闭环的新型方向,形象地称为“莫比乌斯环型 AI”(Möbius-loop AI)。这一框架为 AI 幻觉的关系层解释、解释框架对齐、具身智能中的连续余项处理,以及混合模拟—数字和存算一体架构中的语言—具身接口提供概念线索。Abstract This paper focuses on a question that is easily obscured by narratives of computing power and scale: when an AI system is already operating along a certain encoding relation, and that relation itself begins to fail, does the system have the ability to recognize this failure and reconstruct the relation that produces the next state? This paper refers to mainstream autonomous closed-loop systems that advance through finitely precise encoded states and established rules or parameter relations as “Turing-machine-type artificial intelligence.” The basic principle of such systems is Turingized encoding–computation: continuous, contextualized, embodied, and affective problems are first coarse-grained into computable finite partial sums, and are then further generated within that representation. This powerful capacity simultaneously leaves a structural gap in the sense of encoding adaptation: when there remain continuous structures in real problems that have not been absorbed by the current encoding relation, the system may mistake the continued extension of partial sums for an increase in understanding. This paper characterizes this boundary through a partial-sum–remainder structure: the partial sum represents the structure that has already been absorbed by the current encoding relation, while the remainder represents the continuous structure that still belongs to the original problem but has not yet been absorbed. The remainder here is not an error that can be arbitrarily discarded, but a signal of the failure of the old relation and the reconstruction of the general term. Based on a class of U-shaped integral-remainder structures that are globally divergent but whose finite initial segments first display a trend of effective approximation, this paper calls the ability to identify mismatch from the rebound of the remainder, stop the old track, and generate a new general term “Divergent Intelligence”; many advanced processes of understanding, affective judgment, and situational transformation in human intelligence can be understood as typical manifestations of this ability. This paper calls this remainder-based track switching “reverse Turingization”: as a second direction paired with Turingization, it rereads the continuous remainder obscured by encoding and allows it to participate in the reconstruction of the generative relation. Turingization establishes computable discrete partial sums; reverse Turingization brings the remainder outside the partial sums back into relational judgment. To explain this relational structure, this paper proposes Co-Constitutive Causality (CCC) as a relational category contrasted with simple causality, in order to characterize isomorphic forms in U-shaped partial sums and remainders, self-referential structures, entanglement relations, field relations, and failures of AI interpretation. Because U-shaped partial sums and remainders are locally distinguishable yet globally mutually determining, this paper figuratively calls a new direction in which encoding computation is still locally performed, while an internal closed loop is formed globally through remainder reading and relational reconstruction, “Möbius-loop AI.” This framework provides conceptual clues for a relational-level explanation of AI hallucination, alignment of explanatory frameworks, processing continuous remainders in embodied intelligence, and the language–embodiment interface in hybrid analog–digital and compute-in-memory architectures."
Automated mapping of dry stone walls in terraced landscapes using airborne laser scanning data,"Iglseder, Mikolka-Flöry, Pfeifer et al.",Anna Iglseder (TU Wien); Sebastian Mikolka-Flöry (TU Wien); Norbert Pfeifer (TU Wien); Markus Hollaus (TU Wien),Landscape Ecology,https://doi.org/10.1007/s10980-026-02390-3,Physical Sciences,Earth and Planetary Sciences,hybrid,0,2026-06-27,"Abstract Context Dry stone walls are a prominent landscape feature integrating archaeological, ecological, and landform process aspects, but inventories of these features are often missing. Airborne laser scanning (ALS) provides data for efficient area-wide detection of linear landscape features like dry stone walls. Objectives We developed an automated approach to generate a comprehensive inventory of dry stone walls in terraced landscapes using statewide ALS data. Our objectives were to derive high-resolution digital terrain models (DTMs) and compare different methods to extract dry stone walls from DTMs and DTM-based features. Further, we produced a map of dry stone walls for the study site based on the best-performing method. Methods The study site is the 213 km 2 Wachau UNESCO World Heritage Site (Austria). We generated reference data for 206 ha for model training and testing. We investigated Random Forest classification of Canny edges and deep learning (DL) segmentation architectures on the DTM and DTM-based feature composites. Results Model evaluation yields F1 scores of 0.72 for the Random Forest classifier and 0.84–0.86 for the DL models. Comparable performance is observed when training on RGB composites of DTM-based features and on the normalized DTM alone. Convolutional and transformer-based architectures show no clear performance differences, indicating that DL-based detection of linear topographic features is robust to both input feature design and model architecture when using high-resolution elevation data. The area-wide application results in a final dataset of 925 km of detected dry stone walls across the Wachau region. The derived density map shows dry stone wall densities up to 2740 m/ha. Conclusions Our results show that publicly available ALS data allow reliable, automated mapping of dry stone walls across terraced landscapes. The Wachau-wide mapping provides a basis for heritage documentation, habitat assessments, and future landscape-scale monitoring of the state of dry stone walls. The study demonstrates how DL methods can enhance landform mapping for landscape management and monitoring."
Macroeconomic shocks and racial labour market inequality,"Ziegenbein, Zejcirovic",Alexander Ziegenbein (WU Wien); Dijana Zejcirovic (WU Wien),Applied Economics Letters,https://doi.org/10.1080/13504851.2026.2696046,Social Sciences,"Economics, Econometrics and Finance",hybrid,0,2026-06-27,"How do business cycle disturbances and policy affect racial labour market inequality? We estimate the effects of six macroeconomic shocks – monetary, government spending, tax, financial, technology, and oil supply – on the US Black-white unemployment rate gap. All shocks have significantly larger effects on Black unemployment. Contractionary shocks widen the gap. Government spending has particularly strong effects."
Decentralized small gain and phase stability conditions for grid-forming converters: Limitations and extensions,"Cifelli, Anta",Diego Cifelli (AIT); Adolfo Anta (AIT),Electric Power Systems Research,https://doi.org/10.1016/j.epsr.2026.113610,Physical Sciences,Engineering,green,0,2026-06-27,
Applying ecological thresholds to inform conservation and restoration efforts for stream fishes,"Brumm, Schinegger, Schürz et al.",Rafaela Schinegger (BOKU); Marlene Schürz (BOKU); Georg Gruber (BOKU); Florian Borgwardt (BOKU) …,npj Biodiversity,https://doi.org/10.1038/s44185-026-00144-7,Physical Sciences,Environmental Science,diamond,0,2026-06-27,"Understanding stream fish responses to landscape stressors is fundamental to designing management strategies to conserve and restore fluvial ecosystems. Landscape stressors, including agricultural, pasture, and urban land use, often elicit threshold responses in stream fishes, causing rapid declines in abundance with comparatively small increases in stressor intensity. However, the use of thresholds to inform conservation and restoration decision-making remains limited, particularly when targeting entire stream fish assemblages at continental spatial extents. Here, we apply known threshold values to characterize the vulnerability of stream fishes across ~1.73 million stream reaches in the United States and Europe. We develop a decision-support framework that integrates threshold status indices with network catchment summaries of protected area coverage to prioritize (a) conservation actions in poorly protected catchments approaching land use thresholds and (b) restoration actions in catchments that have exceeded thresholds despite high protected area coverage. Our findings highlight the vulnerability of stream fishes to landscape stressors across two continents and demonstrate how integrating threshold-based vulnerability assessments with protected area summaries can support management decision-making and help address the freshwater biodiversity crisis."
"Failure mode and effects analysis as a screening tool for urban drainage systems failures: A comparison with hydrodynamic modelling in Feldbach, Austria","Funke, Reinstaller, Kearney et al.",K. Kearney (BOKU); T. Ertl (BOKU),Journal of Hydrology Regional Studies,https://doi.org/10.1016/j.ejrh.2026.103667,Physical Sciences,Environmental Science,gold,0,2026-06-27,"Study region The case study is the small city of Feldbach, Austria, a semi-urban catchment recently affected by flooding. Study focus Malfunctions in urban drainage infrastructure significantly increase flood risk, however resource-constrained municipalities often lack the means for complex hydraulic analysis. This study assesses the consistency of an adapted Failure Mode and Effects Analysis (FMEA), a qualitative, expert-driven tool, by comparing its severity ratings against outputs from a coupled 1D-2D hydrodynamic model. The comparison is limited to environmental and neighbouring system severity dimensions, as occurrence, detectability, and infrastructure-level severity lie outside the scope of model-based assessment. We analysed 25 failure scenarios across both centralized (grey) and decentralized (blue-green) infrastructure to assess whether expert-based FMEA severity ratings are consistent with quantitative model outputs for a range of failure types. New hydrological insights for the region Results indicate that failures in centralized ""grey"" infrastructure cause substantially greater system-wide impacts than malfunctions in decentralized elements within this catchment, a finding that reflects the grey-dominated structure of Feldbach. FMEA severity ratings show strong consistency with quantitative model outputs for high- and low-severity failures, though divergence remain at mid-range severity. These findings support the use of FMEA as a practical first-stage screening tool for small municipalities. We propose a tiered management strategy: utilizing FMEA for broad screening and reserving resource-intensive hydrodynamic modelling for the in-depth analysis of critical infrastructure failures."
Enzymatic Control of Polymerization Shapes the Structural Assembly of Bottom-Up Synthesized Cellulose,"Zhong, Ubiparip, Galicia‐Andrés et al.",Edgar Galicia‐Andrés (BOKU); Chris Oostenbrink (BOKU),ACS Catalysis,https://doi.org/10.1021/acscatal.6c01161,Physical Sciences,Materials Science,hybrid,0,2026-06-27,"High Resolution Image Download MS PowerPoint Slide Cellodextrin phosphorylases (CdPs) are powerful catalysts for the precision synthesis of short-chain cellulose, yet the structural origins of their distinct polymerization behavior remain unclear. Herein, we show that variations in the molecular architecture of the CdP substrate-binding pocket control cellulose chain polymerization and, in turn, affect chain assembly in solution. Across a phylogenetically diverse set of CdPs, we observe pronounced enzyme-dependent divergence in chain extension: some enzymes terminate at short, narrowly distributed cello-oligomers (DP 6-15), whereas others support progressive growth beyond DP 20 with broad length distributions. Structural modeling and mutagenesis identify binding-pocket configuration as a primary determinant of this behavior. Localized steric and hydrophobic barriers associated with conserved aromatic residues destabilize extended intermediates along the chain-extension path in restrictive CdPs, whereas more permissive pockets support a continuous binding mode that enables sustained extension. CdP concentration further modulates this process by controlling productive chain rebinding to the enzyme vs premature aggregation in solution. Importantly, these molecular effects propagate to the level of higher-order cellulose assembly: narrow DP distributions primarily yield cellulose II-type nanosheet structures, whereas broader distributions are associated with notable structural and morphological variations, including changes in diffraction profiles, nanoscale dimensions, and aggregation behavior. Together, these results identify CdP binding-pocket architecture as a key determinant of cellulose chain length and higher-order structural/morphological organization, providing a basis for the bottom-up enzymatic design of cellulose materials."
"A prematurely terminated phase 2, randomised trial to evaluate immunogenicity and reactogenicity of a single versus two-dose primary vaccination regimen of the mRNA vaccine BNT162b2 in previously SARS-CoV-2 infected children 5–11 years old (CoVacc trial)","Prat-Aymerich, Yeghiazaryan, Pathirana et al.",Lusine Yeghiazaryan (MedUni Wien); Martin Posch (MedUni Wien); Sanne Hammer (MedUni Wien),Vaccine,https://doi.org/10.1016/j.vaccine.2026.128769,Health Sciences,Medicine,hybrid,0,2026-06-27,"BACKGROUND: This open-label randomised phase 2 study aimed to determine whether a single versus two-dose BNT162b2 primary vaccination regimen in children 5 to 11 years old with prior SARS-CoV-2 infection was non-inferior in terms of immunogenicity and superior in terms of safety and reactogenicity. METHODS: Participants were randomly assigned (1:1) to receive either one or two doses, spaced 3 to 12-weeks. The primary endpoint was geometric mean ratio (GMR) of neutralizing antibodies against wild-type SARS-CoV-2 at 28 days post-vaccination with non-inferiority margin defined as a 1.5-fold change in geometric mean titers (GMT). Secondary endpoints included safety and reactogenicity profile and immunogenicity up to 12 months against wild-type and Variants of Concern (VOCs). RESULTS: In total 31 participants from 3 European countries (median age 9, IQR7-10) were enrolled from May 2022 to January 2024, when the trial was prematurely terminated due to declining interest in COVID-19 vaccination among age-eligible children. Of these, 15 received two doses, and 16 received one. At day 28, GMT of neutralizing antibodies against wild-type SARS-CoV-2 was 1801.1 IU/mL(95%CI:1357.9-2388.9) in the two-dose arm and 1715.5 IU/mL(95%CI:1064.2-2765.4) in the single-dose arm. However, the non-inferiority of the single-dose could not be demonstrated (GMR:0.9; 95%CI:0.5-1.6). Titers remained above 100 IU/mL in both groups at 6 and 12 months. Both schedules elicited high anti-RBD IgG titers against wild-type and neutralizing titers against BA.5 variant at day 28. Eight participants (53%) in the two-dose arm and five (31%) in the single-dose reported a systemic adverse event grade ≥ 2 (P = 0.18) within 7 days of vaccination. CONCLUSIONS: Both regimens induced robust and sustained immune responses consistent with the possibility that, in children with prior infection, a single dose functions immunologically as a booster of the humoral response. However, the premature termination renders the primary non-inferiority comparison statistically underpowered. The vaccine was well tolerated in both groups. EudraCT registration: 2021-005043-71."
ASO Author Reflections: Neoadjuvant Therapy and Post-Recurrence Overall Survival in Intrahepatic Cholangiocarcinoma,"Dong, Starlinger",Patrick Starlinger (MedUni Wien),Annals of Surgical Oncology,https://doi.org/10.1245/s10434-026-20108-2,Health Sciences,Medicine,closed,0,2026-06-27,
Anti-inflammatory activity of lipophilic coffee constituents: βN-alkanoyl-5-hydroxytryptamines and diterpenes in THP-1 monocytes and HCEC-1CT intestinal cells,"Beccari, Binello, Bovolin et al.",Vanessa Partsch (Universität Wien); Francesco Crudo (Universität Wien); Doris Marko (Universität Wien),Journal of Functional Foods,https://doi.org/10.1016/j.jff.2026.107410,Health Sciences,Medicine,gold,0,2026-06-27,"Lipophilic coffee compounds are present in coffee beverages and may also be found in coffee by-products, whose underutilized fractions contain molecules such as β N -alkanoyl-5-hydroxytryptamines (C n -5HTs) and diterpenes. Although members of these groups show anti-inflammatory potential, their combined effects remain unexplored. In this study, C n -5HTs, cafestol, kahweol, and caffeine were tested individually and in mixtures in THP-1 Lucia™ monocytes using an NF-κB reporter gene assay to evaluate additive or synergistic interactions. The most active combinations were further assessed in HCEC-1CT intestinal epithelial cells for effects on TNF-α, IL-6, IL-8, and IL-10 expression and secretion. C 18 -5HT, C 20 -5HT, cafestol, and kahweol reduced NF-κB activation at non-cytotoxic concentrations, while caffeine and longer-chain amides were inactive. C 18 -5HT and kahweol were the most potent, and their co-treatment (3 μM + 40 μM) produced the strongest inhibition, suggesting synergy. In HCEC-1CT cells, treatments lowered pro-inflammatory cytokine mRNA and protein levels, supporting the bioactivity of coffee lipophilic compounds."
Comment on egusphere-2026-2054,"T., Leonard, Alexander et al.","Betzler, Alexander (OeAW); Magnes, Werner (OeAW); Amtmann, Christoph (OeAW); Jernej, Irmgard (OeAW)",?,https://doi.org/10.5194/egusphere-2026-2054-rc2,Other,Other,gold,0,2026-06-27,"<strong class=""journal-contentHeaderColor"">Abstract.</strong> Before reaching the Jovian system in 2031, the ESA Jupiter Icy Moons Explorer (Juice) spacecraft will perform three Earth flybys. As well as providing gravitational assistance, these flybys are prime opportunities to assess performance and undertake in-flight calibration of the science payload in a well-understood environment. The first such interval occurred in August 2024, dubbed the Lunar-Earth gravity assist (LEGA) as it included a pass by the Moon in advance of the approach to Earth. The unique spacecraft trajectory allowed for sampling of various regions of the magnetosphere before exiting into the solar wind. In this paper, we report on the performance of the Juice magnetometer instrument (J-MAG) during the LEGA. J-MAG comprises three sensors&mdash;two fluxgate vector sensors and one Coupled Dark State Magnetometer (CDSM) scalar sensor&mdash;all of which were operational during the LEGA period. This represents the first time in the mission that the scalar sensor has operated in its nominal state. Here, we analyse J-MAG observations during key periods of the flyby. As well as inter-sensor comparison, we assess J-MAG data against geomagnetic field models during the approach to Earth, and compare with measurements from other spacecraft at the Moon and in the solar wind, which allow us to make suggestions for future calibration activities. Overall, the three sensors showed excellent performance at this early stage in the mission and confirmed that the scalar sensor meets the requirements for in-flight calibration of the fluxgate sensors at Ganymede. The LEGA also demonstrates the potential value of using cruise phase measurements for scientific exploration and solar wind monitoring."
"Glacier mass balance of Hallstäter Glacier, Austria, 2023/2024","Bertolotti, Reingruber, Stocker-Waldhuber et al.",Giulia Bertolotti (OeAW); Martin Stocker-Waldhuber (OeAW); Andrea Fischer (OeAW),Publishing Network for Geoscientific and Environmental Data (PANGAEA) (Alfred Wegener Institute for Polar and Marine Research),https://doi.org/10.1594/pangaea.991436,Other,Other,green,0,2026-06-27,"Bertolotti, Giulia; Reingruber, Klaus; Stocker-Waldhuber, Martin; Fischer, Andrea: Glacier mass balance of Hallstäter Glacier, Austria, 2023/2024 [dataset]. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.991436 (dataset in review), In: Helfricht, Kay; Bertolotti, Giulia; Reingruber, Klaus; Hartl, Lea; Stocker-Waldhuber, Martin; Fischer, Andrea (2024): Glacier mass balance of Hallstäter Glacier, Austria, 2006/07 et seq in shapefile format [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.972736"
"Glacier mass balance of Hallstäter Glacier, Austria, 2024/2025","Bertolotti, Reingruber, Stocker-Waldhuber et al.",Giulia Bertolotti (OeAW); Martin Stocker-Waldhuber (OeAW); Andrea Fischer (OeAW),Publishing Network for Geoscientific and Environmental Data (PANGAEA) (Alfred Wegener Institute for Polar and Marine Research),https://doi.org/10.1594/pangaea.991437,Other,Other,green,0,2026-06-27,"Bertolotti, Giulia; Reingruber, Klaus; Stocker-Waldhuber, Martin; Fischer, Andrea: Glacier mass balance of Hallstäter Glacier, Austria, 2024/2025 [dataset]. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.991437 (dataset in review), In: Helfricht, Kay; Bertolotti, Giulia; Reingruber, Klaus; Hartl, Lea; Stocker-Waldhuber, Martin; Fischer, Andrea (2024): Glacier mass balance of Hallstäter Glacier, Austria, 2006/07 et seq in shapefile format [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.972736"
